ID,Recency,Frequency,Monetary,Age,Age Group,Country,R,F,M,RFMGroup,RFMScore,RFM_loyalty_level,Clusters
1964,66,11,1321,71,Baby Boomers,SP,3,2,1,321,6,Platinum,1
1966,96,16,1585,57,Baby Boomers,AUS,4,1,1,411,6,Platinum,1
1968,37,3,11,51,Gen X,SA,2,4,4,244,10,Bronze,0
1970,14,6,84,54,Gen X,SP,1,3,3,133,7,Gold,0
1987,34,5,22,35,Millennials,SP,2,4,4,244,10,Bronze,0
1990,74,11,1585,48,Gen X,SP,3,2,1,321,6,Platinum,1
1991,0,5,89,55,Gen X,SP,1,4,3,143,8,Silver,0
1992,2,10,779,58,Baby Boomers,SP,1,3,2,132,6,Platinum,2
1993,63,11,953,73,Baby Boomers,US,3,2,1,321,6,Platinum,1
1994,11,3,16,39,Millennials,US,1,4,4,144,9,Silver,0
1998,82,5,61,46,Gen X,IND,4,4,3,443,11,Bronze,3
2002,81,10,1570,64,Baby Boomers,SP,4,3,1,431,8,Silver,1
2004,65,9,933,53,Gen X,SP,3,3,1,331,7,Gold,1
2005,86,6,55,32,Millennials,CA,4,3,3,433,10,Bronze,3
2008,93,13,779,44,Gen X,SA,4,2,2,422,8,Silver,1
2021,47,19,1023,47,Gen X,SP,2,1,1,211,4,Platinum,2
2036,29,12,373,49,Gen X,IND,2,2,2,222,6,Platinum,0
2055,37,3,23,49,Gen X,SP,2,4,4,244,10,Bronze,0
2061,61,6,89,67,Baby Boomers,SP,3,3,3,333,9,Silver,3
2066,56,5,81,73,Baby Boomers,SP,3,4,3,343,10,Bronze,3
2072,34,13,1007,53,Gen X,CA,2,2,1,221,5,Platinum,2
2075,56,10,927,53,Gen X,SA,3,3,1,331,7,Gold,1
2079,0,15,1011,75,Baby Boomers,US,1,1,1,111,3,Platinum,2
2088,98,17,1426,50,Gen X,GER,4,1,1,411,6,Platinum,1
2098,38,3,16,53,Gen X,SP,2,4,4,244,10,Bronze,0
2106,99,4,9,48,Gen X,SP,4,4,4,444,12,Bronze,3
2109,60,16,1470,32,Millennials,SP,3,1,1,311,5,Platinum,1
2114,23,19,1143,76,Pre Boomers,US,1,1,1,111,3,Platinum,2
2115,68,5,64,65,Baby Boomers,GER,3,4,3,343,10,Bronze,3
2118,68,15,337,58,Baby Boomers,SP,3,1,2,312,6,Platinum,1
2125,82,11,735,63,Baby Boomers,US,4,2,2,422,8,Silver,1
2130,4,6,105,40,Millennials,SA,1,3,3,133,7,Gold,0
2131,37,15,1254,63,Baby Boomers,SP,2,1,1,211,4,Platinum,2
2134,94,13,501,70,Baby Boomers,SA,4,2,2,422,8,Silver,1
2139,19,5,14,47,Gen X,AUS,1,4,4,144,9,Silver,0
2147,91,15,1745,53,Gen X,SP,4,1,1,411,6,Platinum,1
2150,83,12,1297,64,Baby Boomers,CA,4,2,1,421,7,Gold,1
2154,33,5,27,51,Gen X,SP,2,4,4,244,10,Bronze,0
2156,38,6,37,67,Baby Boomers,SP,2,3,4,234,9,Silver,0
2157,49,6,39,50,Gen X,CA,2,3,4,234,9,Silver,0
2162,19,13,393,46,Gen X,SP,1,2,2,122,5,Platinum,2
2166,55,2,16,62,Baby Boomers,SA,3,4,4,344,11,Bronze,3
2173,23,4,26,70,Baby Boomers,SP,1,4,4,144,9,Silver,0
2174,38,3,18,68,Baby Boomers,US,2,4,4,244,10,Bronze,0
2176,40,11,1506,50,Gen X,SA,2,2,1,221,5,Platinum,2
2181,45,10,1167,52,Gen X,SP,2,3,1,231,6,Platinum,2
2186,30,11,1834,45,Gen X,SP,2,2,1,221,5,Platinum,2
2202,98,5,57,44,Gen X,SP,4,4,3,443,11,Bronze,3
2217,46,3,14,47,Gen X,IND,2,4,4,244,10,Bronze,0
2223,52,16,1497,57,Baby Boomers,SP,3,1,1,311,5,Platinum,1
2225,54,11,1180,45,Gen X,AUS,3,2,1,321,6,Platinum,1
2227,92,8,144,64,Baby Boomers,SA,4,3,3,433,10,Bronze,3
2230,84,6,43,52,Gen X,GER,4,3,4,434,11,Bronze,3
2245,50,6,110,53,Gen X,SP,2,3,3,233,8,Silver,0
2246,91,6,78,57,Baby Boomers,SP,4,3,3,433,10,Bronze,3
2253,15,5,40,32,Millennials,SP,1,4,4,144,9,Silver,0
2254,95,14,1161,39,Millennials,AUS,4,2,1,421,7,Gold,1
2256,33,4,20,49,Gen X,SP,2,4,4,244,10,Bronze,0
2258,76,4,27,36,Millennials,SP,4,4,4,444,12,Bronze,3
2261,5,3,10,53,Gen X,GER,1,4,4,144,9,Silver,0
2262,74,11,281,57,Baby Boomers,SA,3,2,3,323,8,Silver,3
2276,71,15,768,67,Baby Boomers,SP,3,1,2,312,6,Platinum,1
2278,86,5,40,37,Millennials,US,4,4,4,444,12,Bronze,3
2281,34,3,14,52,Gen X,GER,2,4,4,244,10,Bronze,0
2285,0,10,298,68,Baby Boomers,SA,1,3,2,132,6,Platinum,0
2286,27,5,86,60,Baby Boomers,CA,2,4,3,243,9,Silver,0
2292,94,4,17,37,Millennials,SP,4,4,4,444,12,Bronze,3
2295,57,18,661,68,Baby Boomers,SA,3,1,2,312,6,Platinum,1
2296,4,3,16,47,Gen X,SP,1,4,4,144,9,Silver,0
2304,86,18,731,59,Baby Boomers,SA,4,1,2,412,7,Gold,1
2308,40,11,252,68,Baby Boomers,SP,2,2,3,223,7,Gold,0
2315,55,3,21,62,Baby Boomers,SP,3,4,4,344,11,Bronze,3
2320,98,17,578,44,Gen X,SP,4,1,2,412,7,Gold,1
2324,12,18,905,50,Gen X,SP,1,1,1,111,3,Platinum,2
2326,15,5,40,32,Millennials,SP,1,4,4,144,9,Silver,0
2337,77,6,34,51,Gen X,SP,4,3,4,434,11,Bronze,3
2345,54,12,989,40,Millennials,AUS,3,2,1,321,6,Platinum,1
2350,87,11,854,50,Gen X,CA,4,2,2,422,8,Silver,1
2371,22,6,62,50,Gen X,GER,1,3,3,133,7,Gold,0
2375,75,3,13,50,Gen X,SP,4,4,4,444,12,Bronze,3
2379,31,8,1321,69,Baby Boomers,SA,2,3,1,231,6,Platinum,2
2387,9,9,250,70,Baby Boomers,SA,1,3,3,133,7,Gold,0
2392,59,6,69,50,Gen X,SP,3,3,3,333,9,Silver,3
2404,4,9,207,46,Gen X,US,1,3,3,133,7,Gold,0
2406,63,14,474,73,Baby Boomers,AUS,3,2,2,322,7,Gold,1
2407,10,13,1307,40,Millennials,US,1,2,1,121,4,Platinum,2
2408,20,16,674,46,Gen X,IND,1,1,2,112,4,Platinum,2
2410,69,11,829,53,Gen X,SP,3,2,2,322,7,Gold,1
2415,99,10,777,60,Baby Boomers,SP,4,3,2,432,9,Silver,1
2416,83,11,1234,53,Gen X,SP,4,2,1,421,7,Gold,1
2426,35,18,671,58,Baby Boomers,SP,2,1,2,212,5,Platinum,2
2428,23,6,47,52,Gen X,GER,1,3,3,133,7,Gold,0
2429,4,13,900,68,Baby Boomers,CA,1,2,1,121,4,Platinum,2
2431,70,5,35,32,Millennials,SP,3,4,4,344,11,Bronze,3
2437,69,18,1460,33,Millennials,SP,3,1,1,311,5,Platinum,1
2445,87,5,63,48,Gen X,SP,4,4,3,443,11,Bronze,3
2447,71,5,31,43,Gen X,IND,3,4,4,344,11,Bronze,3
2452,8,10,292,51,Gen X,SP,1,3,3,133,7,Gold,0
2453,83,17,689,62,Baby Boomers,SP,4,1,2,412,7,Gold,1
2456,84,7,130,47,Gen X,SA,4,3,3,433,10,Bronze,3
2457,23,4,17,47,Gen X,SP,1,4,4,144,9,Silver,0
2461,79,4,38,67,Baby Boomers,CA,4,4,4,444,12,Bronze,3
2471,39,9,174,57,Baby Boomers,SA,2,3,3,233,8,Silver,0
2478,48,5,8,49,Gen X,SP,2,4,4,244,10,Bronze,0
2488,80,5,49,66,Baby Boomers,SP,4,4,3,443,11,Bronze,3
2493,34,15,463,56,Gen X,GER,2,1,2,212,5,Platinum,2
2495,24,14,605,48,Gen X,SP,1,2,2,122,5,Platinum,2
2499,38,15,398,64,Baby Boomers,SP,2,1,2,212,5,Platinum,2
2516,84,3,34,53,Gen X,SP,4,4,4,444,12,Bronze,3
2518,16,2,14,36,Millennials,GER,1,4,4,144,9,Silver,0
2521,10,3,37,51,Gen X,SP,1,4,4,144,9,Silver,0
2525,65,14,340,48,Gen X,CA,3,2,2,322,7,Gold,1
2532,95,8,1406,35,Millennials,SP,4,3,1,431,8,Silver,1
2534,4,7,139,69,Baby Boomers,AUS,1,3,3,133,7,Gold,0
2535,24,14,643,44,Gen X,SP,1,2,2,122,5,Platinum,2
2541,7,5,32,46,Gen X,SP,1,4,4,144,9,Silver,0
2544,68,5,78,71,Baby Boomers,IND,3,4,3,343,10,Bronze,3
2546,7,5,32,45,Gen X,SP,1,4,4,144,9,Silver,0
2549,80,4,26,39,Millennials,SP,4,4,4,444,12,Bronze,3
2552,11,12,442,67,Baby Boomers,SP,1,2,2,122,5,Platinum,2
2557,52,3,14,52,Gen X,SP,3,4,4,344,11,Bronze,3
2561,45,16,1242,56,Gen X,GER,2,1,1,211,4,Platinum,2
2563,80,5,17,61,Baby Boomers,IND,4,4,4,444,12,Bronze,3
2564,87,7,142,69,Baby Boomers,SP,4,3,3,433,10,Bronze,3
2565,69,14,1243,67,Baby Boomers,SA,3,2,1,321,6,Platinum,1
2569,38,4,34,35,Millennials,US,2,4,4,244,10,Bronze,0
2570,35,17,759,54,Gen X,SP,2,1,2,212,5,Platinum,2
2574,27,14,1206,45,Gen X,SP,2,2,1,221,5,Platinum,2
2579,95,15,783,65,Baby Boomers,SP,4,1,2,412,7,Gold,1
2587,21,5,20,50,Gen X,AUS,1,4,4,144,9,Silver,0
2589,65,5,44,50,Gen X,AUS,3,4,3,343,10,Bronze,3
2591,49,10,775,63,Baby Boomers,US,2,3,2,232,7,Gold,1
2607,78,16,559,69,Baby Boomers,SP,4,1,2,412,7,Gold,1
2611,66,14,1706,63,Baby Boomers,SA,3,2,1,321,6,Platinum,1
2612,33,19,1539,35,Millennials,SA,2,1,1,211,4,Platinum,2
2613,16,7,205,62,Baby Boomers,SP,1,3,3,133,7,Gold,0
2620,48,3,16,48,Gen X,SA,2,4,4,244,10,Bronze,0
2625,30,10,241,68,Baby Boomers,SA,2,3,3,233,8,Silver,0
2631,29,8,879,40,Millennials,SP,2,3,1,231,6,Platinum,2
2632,10,9,335,68,Baby Boomers,IND,1,3,2,132,6,Platinum,0
2634,10,5,43,43,Gen X,SP,1,4,4,144,9,Silver,0
2639,45,5,36,56,Gen X,SA,2,4,4,244,10,Bronze,0
2656,63,3,31,51,Gen X,CA,3,4,4,344,11,Bronze,3
2661,95,6,18,58,Baby Boomers,SA,4,3,4,434,11,Bronze,3
2666,21,19,736,50,Gen X,CA,1,1,2,112,4,Platinum,2
2669,66,11,862,29,Millennials,SP,3,2,1,321,6,Platinum,1
2674,79,12,758,64,Baby Boomers,US,4,2,2,422,8,Silver,1
2677,11,9,164,66,Baby Boomers,SA,1,3,3,133,7,Gold,0
2678,62,8,114,32,Millennials,AUS,3,3,3,333,9,Silver,3
2681,1,15,205,38,Millennials,SP,1,1,3,113,5,Platinum,2
2683,56,18,672,53,Gen X,CA,3,1,2,312,6,Platinum,1
2686,49,3,5,53,Gen X,AUS,2,4,4,244,10,Bronze,0
2694,44,4,24,55,Gen X,SP,2,4,4,244,10,Bronze,0
2698,52,11,369,46,Gen X,US,3,2,2,322,7,Gold,3
2711,6,4,15,46,Gen X,CA,1,4,4,144,9,Silver,0
2712,85,16,540,66,Baby Boomers,AUS,4,1,2,412,7,Gold,1
2715,11,5,110,56,Gen X,CA,1,4,3,143,8,Silver,0
2724,33,2,13,41,Gen X,SP,2,4,4,244,10,Bronze,0
2727,19,9,271,49,Gen X,SA,1,3,3,133,7,Gold,0
2730,64,13,934,67,Baby Boomers,CA,3,2,1,321,6,Platinum,1
2736,88,16,646,44,Gen X,IND,4,1,2,412,7,Gold,1
2740,81,6,79,64,Baby Boomers,SP,4,3,3,433,10,Bronze,3
2747,90,9,1766,34,Millennials,SP,4,3,1,431,8,Silver,1
2781,55,10,1573,41,Gen X,SA,3,3,1,331,7,Gold,1
2782,23,13,379,61,Baby Boomers,SP,1,2,2,122,5,Platinum,2
2793,10,20,788,46,Gen X,SA,1,1,2,112,4,Platinum,2
2795,0,3,8,64,Baby Boomers,CA,1,4,4,144,9,Silver,0
2797,34,18,898,45,Gen X,SP,2,1,1,211,4,Platinum,2
2798,54,17,930,45,Gen X,SA,3,1,1,311,5,Platinum,1
2802,61,11,828,30,Millennials,AUS,3,2,2,322,7,Gold,1
2804,86,5,84,47,Gen X,IND,4,4,3,443,11,Bronze,3
2807,24,15,855,53,Gen X,SP,1,1,1,111,3,Platinum,2
2811,21,5,61,59,Baby Boomers,SP,1,4,3,143,8,Silver,0
2814,6,4,15,46,Gen X,SA,1,4,4,144,9,Silver,0
2815,46,7,51,47,Gen X,SP,2,3,3,233,8,Silver,0
2826,28,5,33,55,Gen X,SP,2,4,4,244,10,Bronze,0
2829,25,17,696,67,Baby Boomers,CA,2,1,2,212,5,Platinum,2
2831,99,17,770,46,Gen X,SP,4,1,2,412,7,Gold,1
2836,61,3,18,50,Gen X,GER,3,4,4,344,11,Bronze,3
2849,25,22,767,43,Gen X,CA,2,1,2,212,5,Platinum,2
2853,74,8,198,42,Gen X,CA,3,3,3,333,9,Silver,3
2861,79,3,16,39,Millennials,SP,4,4,4,444,12,Bronze,3
2863,67,12,930,52,Gen X,SP,3,2,1,321,6,Platinum,1
2868,33,5,49,73,Baby Boomers,US,2,4,3,243,9,Silver,0
2870,6,12,414,49,Gen X,SP,1,2,2,122,5,Platinum,2
2874,20,4,17,34,Millennials,SA,1,4,4,144,9,Silver,0
2875,93,16,870,44,Gen X,SP,4,1,1,411,6,Platinum,1
2877,21,15,469,48,Gen X,SA,1,1,2,112,4,Platinum,2
2878,93,11,320,75,Baby Boomers,SP,4,2,2,422,8,Silver,3
2882,31,12,881,47,Gen X,SA,2,2,1,221,5,Platinum,2
2886,70,20,1193,51,Gen X,SP,3,1,1,311,5,Platinum,1
2891,51,12,741,59,Baby Boomers,US,3,2,2,322,7,Gold,1
2894,74,15,1955,37,Millennials,SP,3,1,1,311,5,Platinum,1
2895,79,8,159,59,Baby Boomers,IND,4,3,3,433,10,Bronze,3
2902,87,4,35,64,Baby Boomers,AUS,4,4,4,444,12,Bronze,3
2909,89,14,1188,48,Gen X,GER,4,2,1,421,7,Gold,1
2918,72,6,68,41,Gen X,SP,3,3,3,333,9,Silver,3
2920,63,10,931,47,Gen X,ME,3,3,1,331,7,Gold,1
2926,62,14,1321,70,Baby Boomers,SA,3,2,1,321,6,Platinum,1
2928,63,10,931,47,Gen X,SP,3,3,1,331,7,Gold,1
2929,27,6,84,46,Gen X,SP,2,3,3,233,8,Silver,0
2930,7,12,1119,44,Gen X,SA,1,2,1,121,4,Platinum,2
2931,95,15,864,44,Gen X,SP,4,1,1,411,6,Platinum,1
2936,46,4,22,40,Millennials,SA,2,4,4,244,10,Bronze,0
2937,47,17,762,48,Gen X,CA,2,1,2,212,5,Platinum,2
2939,96,8,1565,52,Gen X,CA,4,3,1,431,8,Silver,1
2942,20,9,335,58,Baby Boomers,SP,1,3,2,132,6,Platinum,0
2945,25,4,40,67,Baby Boomers,CA,2,4,4,244,10,Bronze,0
2948,76,7,164,68,Baby Boomers,CA,4,3,3,433,10,Bronze,3
2952,80,6,62,45,Gen X,SP,4,3,3,433,10,Bronze,3
2958,53,6,32,44,Gen X,SP,3,3,4,334,10,Bronze,3
2961,86,10,295,40,Millennials,SP,4,3,3,433,10,Bronze,3
2963,56,14,1176,43,Gen X,AUS,3,2,1,321,6,Platinum,1
2964,0,3,21,41,Gen X,CA,1,4,4,144,9,Silver,0
2968,53,12,651,79,Pre Boomers,AUS,3,2,2,322,7,Gold,1
2975,89,15,1623,46,Gen X,SP,4,1,1,411,6,Platinum,1
2980,52,6,25,70,Baby Boomers,CA,3,3,4,334,10,Bronze,3
2986,89,3,13,46,Gen X,CA,4,4,4,444,12,Bronze,3
2995,64,12,990,65,Baby Boomers,SP,3,2,1,321,6,Platinum,1
3005,7,12,1325,30,Millennials,SP,1,2,1,121,4,Platinum,2
3006,83,4,31,46,Gen X,CA,4,4,4,444,12,Bronze,3
3007,49,4,39,56,Gen X,IND,2,4,4,244,10,Bronze,0
3009,8,11,1606,60,Baby Boomers,SP,1,2,1,121,4,Platinum,2
3010,87,12,1722,33,Millennials,SP,4,2,1,421,7,Gold,1
3011,23,9,173,57,Baby Boomers,SA,1,3,3,133,7,Gold,0
3025,4,11,287,64,Baby Boomers,CA,1,2,3,123,6,Platinum,0
3032,97,8,124,38,Millennials,SP,4,3,3,433,10,Bronze,3
3033,56,5,173,59,Baby Boomers,AUS,3,4,3,343,10,Bronze,3
3037,32,12,273,39,Millennials,CA,2,2,3,223,7,Gold,0
3050,13,9,213,56,Gen X,SP,1,3,3,133,7,Gold,0
3056,63,20,967,44,Gen X,SA,3,1,1,311,5,Platinum,1
3066,2,8,210,47,Gen X,SA,1,3,3,133,7,Gold,0
3068,1,5,22,32,Millennials,SP,1,4,4,144,9,Silver,0
3074,66,9,1629,38,Millennials,SP,3,3,1,331,7,Gold,1
3075,47,10,328,50,Gen X,SP,2,3,2,232,7,Gold,0
3076,18,16,572,47,Gen X,AUS,1,1,2,112,4,Platinum,2
3081,65,3,15,44,Gen X,SP,3,4,4,344,11,Bronze,3
3083,88,11,315,48,Gen X,SP,4,2,2,422,8,Silver,3
3091,27,15,495,41,Gen X,SA,2,1,2,212,5,Platinum,2
3099,48,9,253,52,Gen X,SP,2,3,3,233,8,Silver,0
3102,32,4,17,41,Gen X,CA,2,4,4,244,10,Bronze,0
3104,89,17,1857,61,Baby Boomers,GER,4,1,1,411,6,Platinum,1
3107,31,11,269,46,Gen X,AUS,2,2,3,223,7,Gold,0
3112,2,4,15,45,Gen X,SP,1,4,4,144,9,Silver,0
3117,95,11,285,67,Baby Boomers,AUS,4,2,3,423,9,Silver,3
3120,49,3,17,41,Gen X,CA,2,4,4,244,10,Bronze,0
3129,30,5,19,39,Millennials,SP,2,4,4,244,10,Bronze,0
3130,95,6,18,58,Baby Boomers,SP,4,3,4,434,11,Bronze,3
3136,88,16,607,60,Baby Boomers,SP,4,1,2,412,7,Gold,1
3138,84,13,1470,66,Baby Boomers,SP,4,2,1,421,7,Gold,1
3139,53,14,1686,40,Millennials,SA,3,2,1,321,6,Platinum,1
3152,84,5,44,65,Baby Boomers,IND,4,4,3,443,11,Bronze,3
3153,24,3,15,65,Baby Boomers,SA,1,4,4,144,9,Silver,0
3158,1,4,22,49,Gen X,SP,1,4,4,144,9,Silver,0
3170,86,10,863,65,Baby Boomers,SP,4,3,1,431,8,Silver,1
3174,61,9,1817,63,Baby Boomers,SP,3,3,1,331,7,Gold,1
3179,75,13,1342,42,Gen X,SP,4,2,1,421,7,Gold,1
3182,81,8,176,49,Gen X,IND,4,3,3,433,10,Bronze,3
3194,86,14,970,48,Gen X,CA,4,2,1,421,7,Gold,1
3197,38,14,441,42,Gen X,SP,2,2,2,222,6,Platinum,2
3202,60,14,1214,35,Millennials,SA,3,2,1,321,6,Platinum,1
3220,30,7,100,39,Millennials,GER,2,3,3,233,8,Silver,0
3225,71,9,199,38,Millennials,SP,3,3,3,333,9,Silver,3
3231,97,4,19,49,Gen X,US,4,4,4,444,12,Bronze,3
3233,89,18,1047,57,Baby Boomers,SA,4,1,1,411,6,Platinum,1
3254,65,9,716,51,Gen X,SP,3,3,2,332,8,Silver,1
3262,31,15,1524,64,Baby Boomers,SP,2,1,1,211,4,Platinum,2
3265,36,4,31,63,Baby Boomers,SP,2,4,4,244,10,Bronze,0
3266,96,5,61,58,Baby Boomers,CA,4,4,3,443,11,Bronze,3
3267,27,16,548,59,Baby Boomers,CA,2,1,2,212,5,Platinum,2
3270,96,6,73,44,Gen X,SA,4,3,3,433,10,Bronze,3
3276,53,6,58,46,Gen X,SA,3,3,3,333,9,Silver,3
3277,9,12,322,67,Baby Boomers,SP,1,2,2,122,5,Platinum,0
3281,69,12,283,62,Baby Boomers,SP,3,2,3,323,8,Silver,3
3283,57,18,493,50,Gen X,SP,3,1,2,312,6,Platinum,1
3286,71,5,30,55,Gen X,SP,3,4,4,344,11,Bronze,3
3298,92,18,932,66,Baby Boomers,SA,4,1,1,411,6,Platinum,1
3308,54,6,51,70,Baby Boomers,SA,3,3,3,333,9,Silver,3
3310,94,8,166,49,Gen X,SP,4,3,3,433,10,Bronze,3
3312,12,7,36,34,Millennials,IND,1,3,4,134,8,Silver,0
3321,42,14,516,55,Gen X,CA,2,2,2,222,6,Platinum,2
3332,87,7,136,37,Millennials,GER,4,3,3,433,10,Bronze,3
3334,35,14,1819,71,Baby Boomers,SP,2,2,1,221,5,Platinum,2
3336,96,7,757,74,Baby Boomers,AUS,4,3,2,432,9,Silver,3
3340,56,13,367,45,Gen X,CA,3,2,2,322,7,Gold,1
3363,99,4,9,48,Gen X,SP,4,4,4,444,12,Bronze,3
3376,9,9,204,52,Gen X,SP,1,3,3,133,7,Gold,0
3381,51,6,86,69,Baby Boomers,CA,3,3,3,333,9,Silver,3
3386,71,6,104,30,Millennials,SP,3,3,3,333,9,Silver,3
3388,16,11,222,55,Gen X,GER,1,2,3,123,6,Platinum,0
3389,61,21,1142,52,Gen X,SP,3,1,1,311,5,Platinum,1
3403,11,14,1783,64,Baby Boomers,SP,1,2,1,121,4,Platinum,2
3406,97,10,258,58,Baby Boomers,SA,4,3,3,433,10,Bronze,3
3409,68,11,278,38,Millennials,SA,3,2,3,323,8,Silver,3
3412,67,11,876,71,Baby Boomers,SP,3,2,1,321,6,Platinum,1
3421,64,18,750,54,Gen X,AUS,3,1,2,312,6,Platinum,1
3422,67,6,1255,47,Gen X,GER,3,3,1,331,7,Gold,1
3426,89,18,1444,47,Gen X,SP,4,1,1,411,6,Platinum,1
3427,11,18,699,67,Baby Boomers,SA,1,1,2,112,4,Platinum,2
3428,56,14,1424,31,Millennials,SP,3,2,1,321,6,Platinum,1
3433,54,12,735,67,Baby Boomers,SP,3,2,2,322,7,Gold,1
3434,60,14,1122,71,Baby Boomers,SP,3,2,1,321,6,Platinum,1
3436,24,4,16,53,Gen X,SP,1,4,4,144,9,Silver,0
3439,64,9,202,50,Gen X,SP,3,3,3,333,9,Silver,3
3445,56,17,602,66,Baby Boomers,SA,3,1,2,312,6,Platinum,1
3463,41,20,870,47,Gen X,IND,2,1,1,211,4,Platinum,2
3469,94,6,70,45,Gen X,SP,4,3,3,433,10,Bronze,3
3478,17,16,618,51,Gen X,CA,1,1,2,112,4,Platinum,2
3479,49,5,23,72,Baby Boomers,CA,2,4,4,244,10,Bronze,0
3483,76,14,1286,64,Baby Boomers,CA,4,2,1,421,7,Gold,1
3491,32,19,808,47,Gen X,US,2,1,2,212,5,Platinum,2
3498,6,16,707,46,Gen X,SP,1,1,2,112,4,Platinum,2
3503,78,11,875,72,Baby Boomers,SA,4,2,1,421,7,Gold,1
3507,44,7,1263,52,Gen X,US,2,3,1,231,6,Platinum,2
3515,94,8,134,70,Baby Boomers,SP,4,3,3,433,10,Bronze,3
3517,32,6,98,70,Baby Boomers,SP,2,3,3,233,8,Silver,0
3518,45,3,29,39,Millennials,IND,2,4,4,244,10,Bronze,0
3520,94,11,1008,32,Millennials,CA,4,2,1,421,7,Gold,1
3523,83,13,926,60,Baby Boomers,SP,4,2,1,421,7,Gold,1
3524,9,7,141,51,Gen X,SP,1,3,3,133,7,Gold,0
3525,19,3,16,52,Gen X,SP,1,4,4,144,9,Silver,0
3526,58,4,37,54,Gen X,SP,3,4,4,344,11,Bronze,3
3535,68,9,693,57,Baby Boomers,SP,3,3,2,332,8,Silver,1
3536,65,4,21,62,Baby Boomers,IND,3,4,4,344,11,Bronze,3
3537,57,7,65,41,Gen X,SP,3,3,3,333,9,Silver,3
3547,12,5,30,53,Gen X,SA,1,4,4,144,9,Silver,0
3551,28,7,120,68,Baby Boomers,SP,2,3,3,233,8,Silver,0
3559,77,5,33,34,Millennials,IND,4,4,4,444,12,Bronze,3
3560,57,15,1277,70,Baby Boomers,GER,3,1,1,311,5,Platinum,1
3565,62,6,70,67,Baby Boomers,SP,3,3,3,333,9,Silver,3
3570,64,9,212,53,Gen X,SA,3,3,3,333,9,Silver,3
3571,48,13,1057,61,Baby Boomers,SP,2,2,1,221,5,Platinum,1
3578,29,9,186,73,Baby Boomers,SP,2,3,3,233,8,Silver,0
3584,35,10,1327,67,Baby Boomers,CA,2,3,1,231,6,Platinum,2
3594,74,17,636,49,Gen X,CA,3,1,2,312,6,Platinum,1
3595,29,18,913,59,Baby Boomers,SP,2,1,1,211,4,Platinum,2
3598,53,16,559,50,Gen X,SP,3,1,2,312,6,Platinum,1
3599,61,16,1083,52,Gen X,SP,3,1,1,311,5,Platinum,1
3602,42,7,172,64,Baby Boomers,SP,2,3,3,233,8,Silver,0
3619,19,13,871,62,Baby Boomers,AUS,1,2,1,121,4,Platinum,2
3623,55,7,20,46,Gen X,IND,3,3,4,334,10,Bronze,3
3628,93,4,23,35,Millennials,SP,4,4,4,444,12,Bronze,3
3629,17,6,110,44,Gen X,CA,1,3,3,133,7,Gold,0
3635,69,14,529,60,Baby Boomers,SA,3,2,2,322,7,Gold,1
3641,93,5,27,46,Gen X,SP,4,4,4,444,12,Bronze,3
3643,65,10,883,48,Gen X,CA,3,3,1,331,7,Gold,1
3645,19,6,48,50,Gen X,SP,1,3,3,133,7,Gold,0
3657,1,8,128,36,Millennials,SP,1,3,3,133,7,Gold,0
3661,42,12,1276,27,Millennials,IND,2,2,1,221,5,Platinum,2
3665,46,6,18,45,Gen X,SP,2,3,4,234,9,Silver,0
3667,20,19,1645,53,Gen X,GER,1,1,1,111,3,Platinum,2
3673,59,18,626,51,Gen X,SA,3,1,2,312,6,Platinum,1
3678,13,15,582,49,Gen X,SP,1,1,2,112,4,Platinum,2
3690,20,17,1959,36,Millennials,SP,1,1,1,111,3,Platinum,2
3696,67,5,40,57,Baby Boomers,SP,3,4,4,344,11,Bronze,3
3697,20,7,103,68,Baby Boomers,CA,1,3,3,133,7,Gold,0
3698,13,12,1689,39,Millennials,SP,1,2,1,121,4,Platinum,2
3706,54,4,56,44,Gen X,SP,3,4,3,343,10,Bronze,3
3710,41,4,54,38,Millennials,SP,2,4,3,243,9,Silver,0
3711,19,16,1839,78,Pre Boomers,SP,1,1,1,111,3,Platinum,2
3712,63,9,250,63,Baby Boomers,IND,3,3,3,333,9,Silver,3
3717,70,11,456,63,Baby Boomers,SP,3,2,2,322,7,Gold,3
3722,83,5,40,50,Gen X,SP,4,4,4,444,12,Bronze,3
3725,1,11,1613,61,Baby Boomers,SP,1,2,1,121,4,Platinum,2
3726,66,3,14,36,Millennials,SA,3,4,4,344,11,Bronze,3
3732,72,14,632,67,Baby Boomers,CA,3,2,2,322,7,Gold,1
3745,92,6,48,34,Millennials,IND,4,3,3,433,10,Bronze,3
3749,54,18,1315,49,Gen X,CA,3,1,1,311,5,Platinum,1
3759,34,18,943,64,Baby Boomers,SP,2,1,1,211,4,Platinum,2
3762,30,11,708,36,Millennials,SA,2,2,2,222,6,Platinum,2
3766,15,17,414,63,Baby Boomers,SP,1,1,2,112,4,Platinum,2
3767,1,17,567,54,Gen X,SP,1,1,2,112,4,Platinum,2
3769,17,4,39,50,Gen X,AUS,1,4,4,144,9,Silver,0
3783,43,6,115,63,Baby Boomers,SA,2,3,3,233,8,Silver,0
3790,31,3,14,66,Baby Boomers,SA,2,4,4,244,10,Bronze,0
3798,80,5,49,54,Gen X,SP,4,4,3,443,11,Bronze,3
3799,4,18,672,67,Baby Boomers,US,1,1,2,112,4,Platinum,2
